Study Title,Question,Answer,Link,Source
Aspirin,What is the alogP value for Aspirin?,The alogP value for Aspirin is 1.33.,CHEMBL6328,chembl
Aspirin,Has Aspirin received a black box warning from the FDA?,"No, Aspirin has not received a black box warning from the FDA.",CHEMBL267864,chembl
Aspirin,How many aromatic rings are present in the Aspirin molecule?,The Aspirin molecule contains 3 aromatic rings.,CHEMBL6329,chembl
Aspirin,How many aromatic rings are present in the structure of Aspirin?,Aspirin has 3 aromatic rings.,CHEMBL267864,chembl
Aspirin,How many aromatic rings are present in the Aspirin molecule?,The Aspirin molecule has 3 aromatic rings.,CHEMBL6362,chembl
Paracetamol (Acetaminophen),What is the molecular type of Paracetamol (Acetaminophen)?,The molecular type of Paracetamol (Acetaminophen) is a 'Small molecule'.,CHEMBL6362,chembl
Paracetamol (Acetaminophen),What is the chirality of Paracetamol (Acetaminophen)?,The chirality of Paracetamol (Acetaminophen) is -1.,CHEMBL265667,chembl
Paracetamol (Acetaminophen),What is the alogp value for Paracetamol (Acetaminophen)?,The alogp value for Paracetamol (Acetaminophen) is 1.33.,CHEMBL6328,chembl
Paracetamol (Acetaminophen),How many aromatic rings are present in the structure of Paracetamol (Acetaminophen)?,Paracetamol (Acetaminophen) has three aromatic rings in its structure.,CHEMBL265667,chembl
Paracetamol (Acetaminophen),What is the value of alogP for Paracetamol (Acetaminophen)?,The value of alogP for Paracetamol (Acetaminophen) is 2.11.,CHEMBL6329,chembl
